,index,movie_id,movie_name,genre,plot
0,76,tt0006864,Intolerance,"drama, history",intolerance story poor young woman separated prejudice husband baby interwoven tales intolerance throughout history
1,506,tt0017136,Metropolis,"drama, sci-fi",metropolis futuristic city sharply divided working class city planners son citys mastermind falls love working class prophet predicts coming savior mediate differences
2,566,tt0018037,Il cantante di jazz,"drama, music, musical",il cantante di jazz son jewish cantor must defy traditions religious father order pursue dream becoming jazz singer
3,628,tt0018773,Il circo,"comedy, romance",il circo tramp finds work girl dreams circus
4,714,tt0019777,The Cocoanuts,"comedy, musical",cocoanuts florida land boom
5,786,tt0020269,Piccadilly,"drama, crime",piccadilly young chinese woman working kitchen london dance club given chance become clubs main act soon leads plot betrayal forbidden love murder
6,841,tt0020629,Allovest niente di nuovo,"drama, war",allovest niente di nuovo german youth eagerly enters world war enthusiasm wanes gets firsthand view horror
7,842,tt0020640,Animal Crackers,"comedy, musical",animal crackers mayhem zaniness ensue valuable painting goes missing party honor famed african explorer captain spaulding
8,856,tt0020697,Langelo azzurro,"drama, music",langelo azzurro elderly professors ordered life spins dangerously control falls nightclub singer
9,1047,tt0021746,I pionieri del West,"drama, western",pionieri del west newspaper editor settles oklahoma boom town reluctant wife end nineteenth century
10,1048,tt0021749,Luci della citt,"comedy, drama, romance",luci della citt aid wealthy erratic tippler dewy eyed tramp fallen love sightless flower girl accumulates money able help medically
11,1086,tt0021884,Frankenstein,"drama, horror, romance",frankenstein obsessed scientist assembles living parts exhumed corpses
12,1089,tt0021890,The Front Page,"comedy, crime, drama",front page investigative reporter sees opportunity story lifetime accused murderer escapes hanging
13,1301,tt0022913,Freaks,"drama, horror",freaks circus beautiful trapeze artist agrees marry leader side show performers deformed friends discover marrying inheritance
14,1319,tt0023027,I fratelli Marx al college,"comedy, musical, romance",fratelli marx al college quincy adams wagstaff new president huxley university accidentally hires bumblers baravelli pinky help school win big football game rival darwin university
15,1459,tt0023634,Sono nato ma,"comedy, drama",sono nato two young brothers throw tantrum discover father isnt important man workplace
16,1505,tt0023825,Argento vivo,"comedy, drama, romance",argento vivo sexpot film star lola burns seeks new image tries marrying marquis adopting baby sorts schemes go awry
17,1542,tt0023969,La guerra lampo dei Fratelli Marx,"comedy, musical, war",la guerra lampo dei fratelli marx rufus firefly named president dictator bankrupt freedonia declares war neighboring sylvania love wealthy mrs teasdale
18,1554,tt0024025,Carioca,"comedy, musical, romance",carioca aviator band leader always getting group fired flirtatious behavior female guests soon finds falling engaged woman
19,1555,tt0024028,Viva le donne,"comedy, musical, romance",viva le donne chester kent struggles time romance rivals spy produce spectacular live prologues movie houses
20,1556,tt0024034,a strada,"comedy, musical, romance",strada director puts may last broadway show last moment naive newcomer replace star
21,1591,tt0024184,Luomo invisibile,"horror, sci-fi",luomo invisibile scientist finds way becoming invisible becomes murderously insane
22,1598,tt0024216,King Kong,"adventure, horror, sci-fi",king kong film crew goes tropical island exotic location shoot discovers colossal ape takes shine female blonde star captured brought back new york city public exhibition
23,1610,tt0024264,Piccole donne,"drama, family, romance",piccole donne chronicle lives group sisters growing nineteenth century america
24,1682,tt0024593,The Son of Kong,"adventure, comedy",son kong men captured giant ape king kong return skull island find likewise gigantic far friendly son
25,1789,tt0025037,La morte in vacanza,"drama, fantasy, romance",la morte vacanza grim reaper takes form prince attempt relate humans along way also learns love
26,1815,tt0025164,Cerco il mio amore,"comedy, musical, romance",cerco il mio amore american woman travels england seek divorce absentee husband meets falls dashing performer
27,1848,tt0025316,Accadde una notte,"comedy, romance",accadde una notte spoiled heiress running away family helped man actually reporter need story
28,2017,tt0026029,Il club dei,"mystery, thriller",il club dei man london tries help counter espionage agent agent killed man stands accused must go run save stop spy ring trying steal top secret information
29,2048,tt0026138,La moglie di Frankenstein,"drama, horror, sci-fi",la moglie di frankenstein mary shelley reveals main characters novel survived dr frankenstein goaded even madder scientist builds monster mate
30,2184,tt0026752,La tragedia del Bounty,"adventure, biography, drama",la tragedia del bounty tyrannical ship captain takes reluctant crew two year voyage change british maritime law forever
31,2227,tt0026912,The Raven,"crime, horror",raven brilliant surgeon obsessed
32,2237,tt0026942,Roberta,"comedy, musical, romance",roberta paris man clueless fashion suddenly inherits aunts dress shop bandleader friend reunites old flame
33,2278,tt0027125,Cappello a cilindro,"comedy, musical, romance",cappello cilindro american dancer comes britain falls model initially annoyed mistakes goofy producer
34,2368,tt0027515,Desiderio,"comedy, crime, romance",desiderio automotive engineer bound holiday spain meets sultry jewel thief
35,2404,tt0027700,The Green Pastures,drama,green pastures god heaven several old testament stories including creation noahs ark described supposedly using perspective rural black americans
36,2454,tt0027977,Tempi moderni,"comedy, drama, family",tempi moderni tramp struggles live modern industrial society help young homeless woman
37,2512,tt0028212,Sabotaggio,"crime, thriller",sabotaggio scotland yard undercover detective trail saboteur part plot set bomb london detectives cover blown plot begins unravel
38,2542,tt0028333,Follie dinverno,"comedy, musical, romance",follie dinverno performer gambler travels new york city raise needs marry fianc e become entangled beautiful aspiring dancer
39,2545,tt0028346,Tell Your Children,"crime, drama",tell children cautionary tale features fictionalized take use marijuana trio drug dealers lead innocent teenagers become addicted reefer cigarettes holding wild parties jazz music
40,2606,tt0028597,Lorribile verit,"comedy, romance",lorribile verit married couple file amicable divorce find harder let go initially thought
